Posting_Date;Document_Date;Document_Header_Text;Material;Material_Description;Plant;Storage_Location;Movement_Type;Material_Document;Batch;Qty_in_Un_of_Entry;Kilos_Convertion;Unit_of_Entry;Entry_Date;Time_of_Entry;User_name;Base_Unit_of_Measure;Quantity;Amount_in_LC;Goods_recipient;
2024/04/26 00:00:00;2024/04/26 00:00:00;RS Dill 26.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054630113;103625/094;-24.100;-24,100.0000;MT;2024/04/29 00:00:00;16:00:31;ID0857;MT;-24.100;0.00;211000076;
2024/04/26 00:00:00;2024/04/26 00:00:00;RS Dill 26.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054630113;103625/094;-24.100;-24,100.0000;MT;2024/04/29 00:00:00;16:00:31;ID0857;MT;-24.100;0.00;211000076;
2024/04/26 00:00:00;2024/04/26 00:00:00;RS Dill 26.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054630113;103625/094;-23.960;-23,960.0000;MT;2024/04/29 00:00:00;16:00:31;ID0857;MT;-23.960;0.00;211000076;
2024/04/26 00:00:00;2024/04/26 00:00:00;RS Dill 26.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054630113;103625/094;-24.120;-24,120.0000;MT;2024/04/29 00:00:00;16:00:31;ID0857;MT;-24.120;0.00;211000076;
2024/04/25 00:00:00;2024/04/25 00:00:00;RS Dill 25.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054626783;103625/094;-24.160;-24,160.0000;MT;2024/04/27 00:00:00;15:20:41;ID0857;MT;-24.160;0.00;211000076;
2024/04/25 00:00:00;2024/04/25 00:00:00;RS Dill 25.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054626783;103625/094;-24.380;-24,380.0000;MT;2024/04/27 00:00:00;15:20:41;ID0857;MT;-24.380;0.00;211000076;
2024/04/25 00:00:00;2024/04/25 00:00:00;RS Dill 25.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054626783;103625/094;-24.400;-24,400.0000;MT;2024/04/27 00:00:00;15:20:41;ID0857;MT;-24.400;0.00;211000076;
2024/04/25 00:00:00;2024/04/25 00:00:00;RS Dill 25.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054626783;103625/094;-24.160;-24,160.0000;MT;2024/04/27 00:00:00;15:20:41;ID0857;MT;-24.160;0.00;211000076;
2024/04/24 00:00:00;2024/04/24 00:00:00;RS Dill 24.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054586667;103625/094;-23.900;-23,900.0000;MT;2024/04/25 00:00:00;15:57:51;ID0857;MT;-23.900;0.00;211000076;
2024/04/24 00:00:00;2024/04/24 00:00:00;RS Dill 24.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054586667;103625/094;-24.080;-24,080.0000;MT;2024/04/25 00:00:00;15:57:51;ID0857;MT;-24.080;0.00;211000076;
