Calc. No.;Mgmt. dept. CD;Mgmt. dept. name;YM;LVL;Target item CD;Item CD;Item name;Item type name;Unit;Qty.;[STD]Qty.;Total;[STD]Total;Variable Cost;[STD]Variable Cost;Labour Cost;[STD]Labour Cost;Depreciation;[STD]Depreciation;Repair Maintenance;[STD]Repair Maintenance;Overhead Cost;[STD]Overhead Cost;Retur Cost;[STD]Retur Cost
BL572;2201;;2023/03/01 00:00;0;121000094;121000094;;;;800;800;2167.21;0;2167.21;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000094;121000094;;;;0;0;0;2114.285712;0;0;0;2114.285712;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000099;121000099;;;;200;200;939.02;0;939.02;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000099;121000099;;;;0;0;0;957.142858;0;0;0;957.142858;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000100;121000100;;;;60;60;292.33;0;292.33;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000100;121000100;;;;0;0;0;291.4285716;0;0;0;291.4285716;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000109;121000109;;;;160;160;304.26;0;304.26;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000109;121000109;;;;0;0;0;308.5714288;0;0;0;308.5714288;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000111;121000111;;;;120;120;416.26;0;416.26;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000111;121000111;;;;0;0;0;420;0;0;0;420;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000227;121000227;;;;300;300;1703.61;0;1703.61;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000227;121000227;;;;0;0;0;1725;0;0;0;1725;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000230;121000230;;;;48670;48670;8007.63;0;8007.63;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000230;121000230;;;;0;0;0;5909.928502;0;0;0;5909.928502;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000233;121000233;;;;2325060;2325060;158478.69;0;158478.69;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000233;121000233;;;;0;0;0;188163.781;0;0;0;188163.781;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000240;121000240;;;;3880210;3880210;2337.86;0;2337.86;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000240;121000240;;;;0;0;0;7029.233228;0;0;0;7029.233228;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000242;121000242;;;;2000;2000;1305.74;0;1305.74;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000242;121000242;;;;0;0;0;1305;0;0;0;1305;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000295;121000295;;;;20;20;20.98;0;20.98;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000295;121000295;;;;0;0;0;20.7142858;0;0;0;20.7142858;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000299;121000299;;;;560;560;829.9;0;829.9;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000299;121000299;;;;0;0;0;819.9999976;0;0;0;819.9999976;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000322;121000322;;;;15400;15400;31119.87;0;31119.87;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000322;121000322;;;;0;0;0;30137.8;0;0;0;30137.8;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000944;121000944;;;;600;600;4680;0;4680;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000944;121000944;;;;0;0;0;6674.4;0;0;0;6674.4;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000973;121000973;;;;14020;14020;8970.36;0;8970.36;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000973;121000973;;;;0;0;0;9912.14;0;0;0;9912.14;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001002;121001002;;;;7012;7012;18560.38;0;18560.38;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001002;121001002;;;;0;0;0;22288.14287;0;0;0;22288.14287;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001023;121001023;;;;0;0;1582.08;0;1582.08;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001071;121001071;;;;11000;11000;5989492.82;0;5989492.82;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001076;121001076;;;;960;960;4899.73;0;4899.73;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001157;121001157;;;;1404;1404;922.48;0;922.48;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001194;121001194;;;;325;325;1605.86;0;1605.86;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001195;121001195;;;;75;75;348.49;0;348.49;0;0;0;0;0;0;0;0;0;0;0
